Token: COMMENT, Valor: # DBPedia: obras de Chuck Berry
Token: SELECT, Valor: select
Token: VARIABLE, Valor: ?nome
Token: VARIABLE, Valor: ?desc
Token: WHERE, Valor: where
Token: LBRACE, Valor: {
Token: VARIABLE, Valor: ?s
Token: ATTRIBUTE, Valor: a
Token: URI, Valor: dbo:MusicalArtist
Token: DOT, Valor: .
Token: VARIABLE, Valor: ?s
Token: URI, Valor: foaf:name
Token: LITERAL, Valor: "Chuck Berry"@en
Token: DOT, Valor: .
Token: VARIABLE, Valor: ?w
Token: URI, Valor: dbo:artist
Token: VARIABLE, Valor: ?s
Token: DOT, Valor: .
Token: VARIABLE, Valor: ?w
Token: URI, Valor: foaf:name
Token: VARIABLE, Valor: ?nome
Token: DOT, Valor: .
Token: VARIABLE, Valor: ?w
Token: URI, Valor: dbo:abstract
Token: VARIABLE, Valor: ?desc
Token: RBRACE, Valor: }
Token: LIMIT, Valor: LIMIT
Token: NUMBER, Valor: 1000
